TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
0.001771429,403601.1,237071.5,270068.5,211.6212,-3.70127,110.6547
0.007131428,492079.6,278609,404043.1,349.9543,380.0806,401.7573
0.007382857,568404.1,291045.4,652860.1,4122.964,3063,11495.2
0.01168,582904.1,312564,571271.1,974.7316,484.3502,934.4453
0.02352,442759.4,234472,525799,6100.533,5374.627,8407.618
0.03892571,353520.4,171584,385138.5,6968.296,4433.192,12863.7
0.04362286,295525.9,142567,332005.2,810.7698,108.2363,401.3002
0.04768,273888.8,171668,371633.5,249.3122,72.03467,165.053
0.05353143,311338.3,172024.2,465910.6,4243.572,3500.118,7385.154
0.05388571,491414.3,264010.9,529939.1,5416.889,3562.966,9902.12
0.05476571,706895.1,326867.5,667646.3,501.8981,217.0625,482.9493
0.05699429,395620.4,221631.2,487251.5,440.5838,150.9263,216.8708
0.05810286,271264.7,142100,381181.9,7573.122,2416.811,3668.445
0.06274286,464473.8,220868.5,701643.7,2076.309,1479.033,7513.917
0.06274286,343230,203771.7,331529.4,-202.4934,257.1571,483.1558
0.07514286,404603.7,223945.1,540523.1,2430.348,2556.147,10035.66
0.07848,480880.8,218598.2,599666.4,602.9235,387.0407,1006.023
0.0936,357035.3,180106.1,514862.8,454.1797,84.99648,270.06
0.1006629,304635.6,159362.6,331019.5,272.4341,95.36299,110.0059
0.10112,368288.3,205104.5,400819.5,413.569,266.4029,202.98
0.1014171,460604.5,227753.1,357398.9,320.8603,351.6796,390.1522
0.1230286,536639.4,258705.4,502347.2,427.3418,622.8603,450.5964
0.1243543,611059.8,345943.4,587767.9,374.2706,116.2582,365.2165
0.1310057,393552.5,213133.8,288409.2,1089.589,952.7009,7555.56
0.1428571,245094.3,123639,407439.6,637.7833,375.2733,464.7821
0.1447543,414465.9,237755.8,403620.2,287.6815,109.9764,165.5544
0.1605257,425807.7,263900,303951.7,419.202,167.8105,210.6037
0.1640114,284852.4,187820.6,279472.8,299.8176,278.7749,268.4379
0.1640457,422669.3,174918.2,478867,2529.309,11244.22,14685.93
0.1721486,413702.3,258996.6,338283.5,6392.019,444.639,8806.014
0.1750514,300791.2,154840,412040.1,2290.068,1849.897,2550.499
0.1806857,480919.1,246245.4,529768.3,6987.938,6987.805,18418.61
0.1856457,350275.7,211834.6,327311.9,237.0582,221.973,383.5312
0.1856457,456240.2,204938.7,802425,3232.152,2640.259,13640.71
0.1934171,218119.8,122122.6,493607.6,2812.139,1233.614,3670.155
0.2029486,439624.2,220464.2,484007.8,2111.803,1204.372,3993.021
0.2047429,342235.7,208556.3,310692.4,325.7855,250.7573,214.7326
0.2102057,389099,227836,415117,2540.133,858.665,2310.197
0.2143086,386158.5,227927.8,337781.4,405.3554,185.2257,145.5587
0.2219657,496441.2,272988.8,599920.2,5004.456,5386.984,8883.032
0.2224457,501541.3,279167.8,451317.3,436.0862,148.4784,180.4332
0.2238057,561158.9,252380.8,619291.7,1303.82,1249.053,2343.036
0.2346629,419921.2,237294.4,457090.1,481.0176,217.7113,174.5348
0.2422743,518300.6,265216,501783.7,5205.504,1627.659,14986.37
0.24448,338504.3,186440.8,470683.1,3132.675,2626.235,5336.611
0.2530514,477738.7,250996.5,673062,3428.349,2065.323,3602.736
0.2558743,486578.5,265936.2,505611.7,4638.679,3725.291,7851.115
0.2676457,458997.5,226110.1,539078.8,451.3779,501.2197,355.9707
0.2676571,406813.7,193966.1,407068.5,1817.663,409.1451,3310.808
0.2731428,574677.4,332880.8,588075.9,1835.653,1054.7,1373.923
0.2811086,417140.3,221769,507907,446.7034,256.5083,504.3459
0.28368,363311.5,177661.1,380280.7,898.9661,1025.738,1241.474
0.2928686,499740.1,295469.4,560145.5,472.863,189.4873,391.4498
0.2996457,402587.6,221213.4,403805.8,897.4768,220.4246,300.1273
0.3021486,524938.7,297268.2,364439,2100.316,568.5062,2531.123
0.3094057,539414.6,242021.9,744364.8,4232.675,3557.893,24316.72
0.3125029,390723.9,177471.8,516850.5,446.5265,231.1155,180.6396
0.3131543,489400.5,208522.7,799715,1298.998,1123.52,2131.607
0.3313029,455490.4,235051,541978.4,4209.125,5824.707,9930.182
0.3588686,506626,244522.9,643043.5,809.7375,196.241,179.7106
0.3668914,379276.4,224163.5,329924.7,220.4394,144.9394,179.9318
0.3671314,523096.3,241737.4,513914.7,1364.441,654.5054,4587.495
0.3711086,422867.9,207836.2,429826.5,3564.794,1472.589,2574.86
0.3843428,380304.9,223309,549733.1,1273.517,1001.275,2192.877
0.3852686,516412.7,237139.8,791346.9,8313.037,5882.202,19474.83
0.3881257,578006.8,281422.4,683135.4,597.8804,298.7264,372.2209
0.39312,382143.8,240774.2,253425.8,140.6925,111.4215,142.6832
0.39808,241266.6,132141,470846.7,838.0353,378.9304,503.063
0.40072,567969.1,259618.2,547871.9,5147.876,1396.956,2418.802
0.4028914,389880.8,206538.1,373651.5,248.8403,259.4575,314.0771
0.4072571,386142.6,218731.5,472238.1,1888.031,3748.28,7457.675
0.4079314,372633.5,186023,505623.6,12531.53,6896.674,9017.576
0.4130971,389732,192365.6,687952.6,19103.3,13481.82,24644.07
0.4184228,560688.9,263934.7,645399.8,433.3582,316.7461,302.9732
0.4239886,370676.7,211938.7,412078.4,1635.622,2725.668,4515.947
0.4281372,338364.1,183354.1,291614.8,467.5986,502.6649,1190.614
0.4396343,437424.7,246837.9,503322.7,5346.757,5066.729,16244.7
0.4425943,370451.6,217050.4,520830.5,1060.156,559.0244,1789.409
0.4432572,355136.2,181319,552463.9,584.0928,299.7586,494.1564
0.4435886,360265.8,183710.2,429870.1,380.8326,360.7779,268.6591
0.4446743,367255.5,168507.4,573987.8,8011.966,3619.385,7683.423
0.4586629,413579.4,184205.3,758048.4,592.0999,385.4187,537.5394
0.4589486,258511,128661.1,470572.4,1037.417,141.71,495.5277
0.4637714,402828.8,176318.2,465861.5,303.4451,386.6426,387.085
0.4648343,434737.2,197468.3,560290.3,3430.694,3742.102,8640.945
0.4692114,520758.4,258041.3,710603.8,536.6104,264.6482,417.3145
0.4733257,359216.6,194525,332775.9,720.1992,418.3319,1179.481
0.4733371,352043.8,190993.6,386111.1,239.9337,282.6236,308.7537
0.4832343,612184.6,279153.3,713082.4,569.0665,479.3218,610.2819
0.4872,316865.8,173609,432847.1,1497.422,858.2227,10828.48
0.4890971,463135.2,235678.2,589814.3,1835.771,1137.44,2186.507
0.49872,329870.5,187760.2,324062.7,409.2484,145.6029,137.817
0.5085828,449023,263508,412553.3,439.5811,122.9087,66.60811
0.5149829,377271.3,179668.2,299868,430.8661,198.3055,189.0302
0.5267543,489943.7,254896.3,573895.2,528.8834,387.3947,193.3065
0.53136,480899.1,211388.8,540696.3,656.3486,247.6164,547.7289
0.5444457,493169.2,249737.6,550911.6,892.1682,541.2111,541.049
0.56624,585615.4,330542.3,656669.5,429.4652,317.7931,208.4213
0.5673486,477030.8,198683.5,645160.1,2012.694,2244.193,2969.48
0.5868914,372068.7,201110.6,409186.7,2733.38,597.7329,1564.31
0.5892228,457066,229483.5,640848.8,1308.141,876.3604,1533.815
0.5935771,312674.1,164484.3,368604.9,1050.482,615.0449,1053.21
0.5951315,317795.6,174332.5,325763.8,660.3891,1027.272,2006.796
0.5951428,294935.3,151205.6,598216.7,408.3931,94.08008,294.8924
0.6039086,635543.1,295010.3,556074,331.6102,338.9095,263.439
0.6077371,210797.6,115646.7,473337.8,4614.186,5491.372,6870.78
0.6118628,295104.6,152419.7,332284.4,358.684,342.9204,325.6675
0.6150514,353297.3,176628.5,604595.2,9661.243,8725.839,15046.27
0.6170857,381876.1,188024.5,332544.1,272.3456,294.2436,353.0805
0.6175771,586853.9,327090.4,482380.2,4485.26,1486.878,17664.63
0.6228,429620.4,207185.4,611055.8,346.9166,697.564,462.2606
0.6230743,354406.8,213855,280127.4,1650.412,1044.938,1764.4
0.6233257,332227.4,154495,467273.1,2089.758,2971.839,5245.156
0.6327085,479395.1,270229.1,429375.6,309.1961,298.6379,251.8485
0.6417372,284181.8,152504.8,317180.3,260.4897,605.7843,401.256
0.6457943,378282.8,210180.3,387998.8,987.31,930.1836,1628.116
0.6603314,578328.6,287365.1,801382.9,9528.587,7494.968,30423.89
0.6626057,285696.4,159290.9,417115.6,3777.758,1968.397,3137.143
0.6745943,458813.8,242157.4,542860.3,582.6182,238.636,367.1925
0.6796914,416232.6,221662.6,502199.8,617.7139,334.5446,454.8728
0.682,340505.8,200891,333343.7,194.9286,240.9807,521.3187
0.6876915,370490.3,223855.5,370093.5,502.3109,457.7188,748.3938
0.6918172,436380.9,262438.4,517075.2,1661.929,623.5386,2245.196
0.6945028,353727.6,161199.4,433787.1,356.1477,462.8209,483.8193
0.7107086,361603.3,189095.2,422065.4,4092.734,2387.673,3669.698
0.7132571,362352.9,182369.6,354139.4,408.1719,232.0298,334.9723
0.7184343,383333.7,209744.6,512766.3,1322.135,405.0162,1400.083
0.7251315,462373.6,239736,319140.4,2606.313,2461.772,9811.697
0.7292228,522344.9,264690.7,420194.1,1650.751,1260.747,2636.543
0.73,290041.5,143682.6,468955,8497.599,8320.425,17628.96
0.7314171,297893.8,156439.4,376538.2,6456.798,8137.484,9159.891
0.7356686,470589.6,231558.9,619194.9,3222.611,1986.505,4451.389
0.7393029,517662.8,238716.8,767999.5,4017.75,3760.21,8895.036
0.7436115,361717.3,213775.5,662457.9,9824.674,12706.81,12963.7
0.7460572,516358.8,230065.9,814815.1,1161.461,1675.377,4375.299
0.7716914,360771.2,167720,473018.2,400.7841,473.2906,516.069
0.7913486,392882.3,181624.8,565725.1,713.2833,416.8131,664.5917
0.8115429,354027.1,181018.9,518626.3,6082.056,7207.699,10059.9
0.8244572,520349.1,276628.8,536421.5,6718.247,2547.358,23023.99
0.8341943,678787.8,332725.1,570443.7,1230.458,823.7463,1339.344
0.8350857,658251.5,295284.7,728183.2,1705.253,1190.909,2701.676
0.8462057,346821.5,206472,425807.9,330.4895,173.9449,176.9974
0.8592457,501522.8,255195.4,471916.6,627.579,157.8569,174.1219
0.8601943,347825.8,199244.6,272990.8,270.8563,220.3214,247.0413
0.8624114,372436.7,240130.2,423763.8,2964.923,3322.015,5789.818
0.8721029,383500.6,196845.6,414624.3,272.1982,204.7053,149.5107
0.8777714,436597.3,231006.7,352204.3,288.9792,247.8524,231.8823
0.8777714,434528.5,199957,509390.7,431.22,346.6069,334.9133
0.8836457,324626.3,168821,353249,459.9749,586.983,568.8896
0.8918172,490196.3,285882.3,425976,490.1602,91.86816,322.1727
0.9015315,675545.6,305105.9,712198.8,5875.729,4726.595,17200.67
0.9042057,351586.6,161744.8,530498.5,467.1563,259.0004,259.9736
0.9138286,472633.3,281387.7,357024.2,350.7506,56.90518,97.82559
0.9286171,467610.1,249437.4,475749.8,2409.335,567.0021,5131.921
0.9318972,528070.6,219923.2,735724.4,543.3493,184.7391,397.363
0.9483314,308878.9,185606.4,550555.7,662.7632,338.5113,459.5915
0.9601371,277733.5,141246.6,312546.1,254.4586,182.011,110.0206
0.9639543,584320.4,273954.3,627635.3,745.8427,559.6437,553.3177
0.96688,359273.7,169668.8,407917.7,4362.116,4016.172,4526.417
0.9680914,600602.1,277813.8,733373.9,6181.076,9207.358,15249.22
0.9840229,604097.1,295535.5,603208,5611.479,4098.928,7216.827
0.9938286,320573.4,184882.9,395255.9,372.8992,263.5422,252.2909
0.9948457,503460,253902.9,752262.9,6458.391,6993.365,18002.02
1.012023,407708.8,214225.8,574473.3,11825.14,6750.718,18298.32
1.013909,647028.6,297382.4,771208.7,2320.49,1831.067,4041.477
1.0164,368644,199593,543842.6,5348.275,5781.811,6131.765
1.032594,507435.1,252922.9,541583.2,552.197,440.3036,506.8232
1.032789,299692.4,125396.3,465830.2,1418.943,8527.269,7395.727
1.035589,654528.6,289944.5,618916.5,13948.33,3261.143,8942.828
1.037634,467405.3,242530.4,657612.5,5848.434,3443.139,12856.37
1.042571,313783.1,188554.2,259614.5,160.9094,168.1497,236.8075
1.045074,414364.3,252482.7,359487.3,1024.323,217.3279,919.9056
1.052446,497874.4,273106.4,572641.8,837.4749,224.1111,478.7614
1.066743,550659.1,237338.1,538711.3,2076.058,11748.73,10532.03
1.082857,736711.8,340655.8,710144.5,495.2476,1710.119,1599.479
1.083863,566057.2,275159.4,577481.6,513.2526,559.7175,329.5162
1.087691,407754.2,225033.8,500599.8,1709.987,361.9134,1639.087
1.103749,724278.8,324035,709919.9,3651.413,1379.718,3042.768
1.106811,254758.6,170682.4,297224.9,382.1008,117.9688,278.8929
1.108617,423871.9,194642.6,535469,3731.366,5176.778,10951.25
1.109851,386509.7,196348.3,438084.2,282.3877,77.47598,203.4076
1.117543,236831.2,119056,561161.6,7728.561,8218.013,9679.454
1.123303,441615.5,257149.8,452057.2,389.1642,328.5135,452.6756
1.124549,424002.8,206856.2,536264.4,220.3066,98.45967,214.187
1.126777,370075.4,192445.1,457163.4,1022.538,299.5669,690.3089
1.136446,251308.7,121545.8,417386.6,814.707,3198.457,2845.156
1.144046,506584.1,290010.6,462618.1,266.5504,227.6649,294.391
1.145371,489538.3,271632.5,515271.9,2336.091,2658.234,4675.234
1.160057,326155.1,154553.3,636826.4,5585.879,7611.668,13565.68
1.16336,433135.6,224392,567585.3,652.1313,231.3662,211.4295
1.163726,432276.3,184045.1,668483,874.0452,2404.188,1971.892
1.170469,597750.3,293944,711635.8,413.4067,151.4129,142.2556
1.172103,385923,210919.5,350558.6,521.1417,185.5501,182.4977
1.180126,551402.6,261854.9,834678.6,7761.695,4231.731,12246.82
1.183943,420505.8,210034.7,463184.2,426.2211,279.1436,347.6834
1.188594,567397.9,242298.6,727197.7,1742.236,1933.464,5769.542
1.189794,292776.2,158135,449758.8,387.3209,288.4336,124.9437
1.192023,442102.5,199661.3,572178.7,520.4929,19.89248,137.817
1.198846,246402,128635.4,319057.7,2740.606,6104.44,5546.714
1.213909,336539.1,180437.6,416710.6,1574.986,336.8598,1820.612
1.214674,337499.6,220697.1,257061.8,342.9499,183.3087,281.8863
1.21864,515283.1,273723.5,571512.6,3205.24,3810.346,7843.875
1.220846,447277.2,227645.6,589908.4,850.1713,486.6211,563.2418
