TIME,FSC-A,FSC-H,BSC-A,AF405-A,FITC-A,mCherry-A
0,282562,137943.7,377067.8,222.9757,432.0901,300.4812
0.20088,397168.3,213631,452583.7,215.116,492.4606,561.5903
0.2647886,490279.9,322905,340596.7,367.5464,72.25586,113.0731
0.2938514,401074.7,173321.1,387545.2,357.6518,715.2003,714.7285
0.37752,506676.2,249480,482934.3,658.59,465.2835,500.04
0.3903657,443981,233990.4,478188.9,406.4908,270.5613,451.4517
0.4708914,245466.6,167675.2,520114.2,466.4485,616.3425,1066.939
0.5273486,255361.2,103905.8,589636.3,483.6866,851.8818,815.9309
0.5305714,387603,191469.6,381244,515.9363,794.9767,472.9367
0.5413371,371617.2,181435.5,441308.5,517.6764,421.9153,439.6843
0.5590171,421870.2,178503.4,322273.6,437.2807,4107.554,3901.758
0.61168,330339.7,150159.5,394942,451.6434,478.7909,329.9438
0.6437371,390692.1,188553.1,494419.1,299.213,573.7558,727.012
0.6818514,358710.3,180782.6,342058.9,166.9848,416.297,301.3364
0.7370514,352343.6,166920.3,324343.5,530.9479,516.1133,321.2437
0.7480229,326256.4,144552.8,515274.1,568.0933,766.5462,760.0137
0.9499657,369002.8,165046.6,556214.7,620.0732,466.5517,321.863
0.9499772,481654.8,188065.9,485839.3,431.7804,444.1671,483.4507
0.9578057,473818.3,218709.1,510127.4,491.2072,695.9124,423.2424
1.02328,428056.6,244360.5,396477.6,475.8122,569.4647,462.6882
1.069703,339560.8,155602.7,326421.3,336.6976,407.818,189.8707
1.100377,438327.2,204540,777595.4,759.5861,859.889,1118.963
1.170126,271019.8,156879.5,369671.7,532.7174,837.991,540.5181
1.212343,494027.4,218358.6,462640.9,363.9926,351.7681,368.1068
1.226011,315196.1,147314.7,374346.6,326.6112,639.4054,682.1985
1.226663,474284.3,221378.1,728286.1,671.2127,750.4877,527.3498
1.253737,399427.1,215801.6,380334.1,390.4471,198.7184,352.5496
1.33016,442193.6,212842.6,463615.5,573.8737,432.9011,355.9707
1.350194,423712.6,183653.1,549891.9,185.4321,594.415,683.3782
1.372743,384648.8,199437.3,421585.8,579.5805,228.0189,402.9665
1.461714,521721.3,251113,509099.2,614.7794,381.8943,501.1608
1.467554,364309.9,174687.5,446341,248.8698,463.2633,510.8342
1.708834,261462.7,124320,552471,434.8476,957.4197,663.2793
1.730057,460190.3,243464.5,552128.2,541.0932,444.4768,612.1841
1.786606,418333.9,202397.4,327112.2,356.5901,459.1344,369.2864
1.792343,226839.9,114294.9,474914.9,474.5293,1080.726,979.1702
1.801349,338281,186445.3,411056.6,162.325,317.218,218.139
1.843989,292539.2,124600,516873.4,370.5546,694.5705,654.5644
1.90592,269956.6,131332.3,609922.6,463.3813,334.4119,568.9338
1.953714,312936.4,193251.5,466403.6,470.9313,442.9432,539.3089
1.967291,427816.8,236395,478222,592.7045,487.4764,439.0207
1.99072,344800,147551,375004.3,381.157,422.0037,308.0754
2.036229,363749.3,183115.5,411743.9,423.7733,459.9012,331.212
2.054949,377074.3,209813,393778,469.6926,430.9841,401.6246
2.080983,385111.1,189863.5,397324.3,354.8353,346.3857,285.971
2.138023,405997.8,204986.9,405565.1,391.9807,871.3467,590.2124
2.1556,370142.3,161187,494181.1,547.0801,459.1639,322.6888
2.204194,482651.4,241061,392916.6,324.7237,611.5205,589.4751
2.250709,409048.8,209892.5,328414.5,508.9025,566.7809,598.7209
2.331223,241534.9,119377.4,536465.9,760.6035,857.972,448.9153
2.394583,582260.3,284039.8,444778.3,474.3671,236.896,261.0796
2.412206,372606.8,195201.4,414417.2,446.4528,459.3851,385.9053
2.417509,292816.4,125158.9,457831,304.7723,473.0842,467.9673
2.439006,301017.6,148842.4,311273.2,550.103,1195.097,1085.49
2.498343,361719.6,181979.8,385799.5,401.197,481.46,267.096
2.52496,306662.4,126132.2,382452.4,452.189,417.108,337.6561
2.536389,209522.2,98501.76,308979.4,434.125,620.3976,539.0435
2.548183,283113.1,159946.1,475654.7,317.2769,537.8048,518.5906
2.593166,391674.4,210879.2,400571,395.8884,835.499,801.6272
2.594926,265611,146724.5,337090.4,259.1479,470.6806,412.9349
2.660971,342707.3,122295,510163.6,381.157,860.9507,1057.988
2.669966,407679.1,174946.2,510768.8,728.0884,591.6133,394.8414
2.778811,384252.5,180992,371661.4,545.0451,506.7053,399.5602
2.913497,287793.8,150951.4,342847.8,370.5104,756.917,739.2807
2.938366,593122.1,329949.8,465531.5,521.2449,350.3082,565.4684
2.996789,376993.4,232720.3,457904,300.0977,515.376,242.8239
3.125863,251256.5,120721.4,327865.9,400.9463,873.1162,695.7355
3.13128,350590.9,176704.6,522955.4,697.7852,604.0885,524.9904
3.210937,333984,152918.1,416347.7,433.6089,254.2079,250.949
3.217052,484201.2,252380.8,530478.4,507.5901,301.8525,513.1494
3.288332,353652.4,177050.7,340187.9,414.3652,578.9611,551.7693
3.304011,394912.6,174034.6,488147.8,585.8181,1149.03,1093.659
3.33184,391964,217236.3,532605.1,379.5497,867.8076,784.212
3.368331,349515.9,187102.7,464906.5,353.4934,642.2809,588.4871
3.429132,517864.4,233249,601879.4,354.85,1033.362,941.7888
3.451086,400690.1,231892.6,444604.5,613.7619,245.8321,248.0735
3.533486,231571.2,115988.3,351522.2,446.0104,491.5168,487.1225
3.56744,353153.8,183075.2,423759.3,311.8062,339.2044,162.9886
3.569246,346088.3,200103.7,331435,268.4232,422.2249,542.553
3.583086,269150.4,148433.6,252486.5,330.0913,433.2402,333.6304
3.599703,476557.6,238007.8,412044,395.5787,388.2942,314.9176
3.64416,435731.8,195132,686446.4,579.9344,694.3493,792.2487
3.66096,284890.8,136856.2,414908.2,503.063,346.8724,339.8532
3.678926,268117.2,116385.9,363996.9,480.0149,396.0063,345.3978
3.68168,337517.8,159012,503883.6,418.096,169.6243,509.1384
3.68224,580999.5,249410.6,609224.8,449.4609,323.9422,346.9019
3.683234,663057.5,333652.5,608906.4,548.9971,547.3455,554.9398
3.773074,279487.6,138575.4,391758.4,410.0741,430.8809,393.4258
3.775863,419284.8,223011,300979,298.9771,238.1494,430.409
3.855463,234640.3,126254.2,421792.8,310.5085,370.0237,390.0784
3.868686,274815.5,168964.3,442974.7,481.8729,589.8585,524.6071
3.878126,315446,142587.2,371997.7,274.8819,387.0702,305.5686
3.914526,308827.6,144147.4,383477.8,319.3267,484.8073,429.1408
3.967657,374324.8,199075.5,347396.3,420.0425,529.9894,471.123
3.973086,334550.8,148851.4,265658.1,241.9392,306.1732,166.3359
3.978217,262570.1,141834.6,249113.2,208.2296,295.1431,227.488
3.983588,364157.3,192171.8,451515.1,442.3681,364.3907,246.9971
3.989588,605400.6,208557.4,834428.5,875.2839,1251.619,1549.652
4.039188,483195.1,235052.2,489445.5,481.7401,607.4948,525.7277
4.049977,330601.6,195967.5,354744.1,306.3354,446.8362,330.6959
4.053189,337861.1,141712.5,375053.3,283.9803,294.0961,561.9294
4.07688,388646.2,213001.6,466474.6,282.2402,442.0584,400.2975
4.077188,260154.7,124893.4,543144.6,714.8759,619.4687,955.5616
4.084857,422362.1,240087.7,405833.3,395.269,440.1709,796.8642
4.101429,660811.4,296894.1,588683.4,466.9646,579.3445,831.1194
4.120434,376029.5,206458.6,385640.5,569.2582,904.142,840.1735
4.159063,291325.5,165471,375297.4,446.379,561.3986,425.705
4.168514,309625.2,144100.3,504256.6,474.3671,521.5251,507.3541
4.281486,266878.1,139871.2,308848.1,328.1301,317.7488,238.7835
4.29176,400414.5,182909.4,495774.6,345.265,491.2809,492.9767
4.299531,353074.2,170698.1,447705.8,246.8496,634.9668,396.8469
4.321097,380118.3,172402.7,417769.2,541.8157,683.2897,541.742
4.330686,335453.5,168190.4,484820.1,411.0031,492.1656,489.3196
4.333794,192045,93290.4,476934.4,529.7829,829.8954,755.2065
4.341474,196929,118368.3,380647.5,487.1077,503.6086,287.3276
4.361646,288951.2,152827.4,340696.9,317.7488,420.0867,402.4651
4.375509,251801.8,116841.8,386252.6,314.6522,531.4197,398.9113
4.407646,321864.9,199146.1,351574,485.1613,406.2254,233.6224
4.432777,423012.4,201561.9,447346.3,374.1821,734.5325,534.6491
4.434674,470159.8,194591,492638.6,485.8101,267.5679,501.6769
4.457646,266468.5,156884,451942.2,475.9597,566.5302,469.9728
4.488594,272739.8,155445.9,274843.5,184.2377,477.3606,362.636
4.494857,448073.7,216992.2,505205.9,466.1388,710.4816,714.2713
4.502766,278121.3,125801.8,297431.9,278.598,560.4843,354.8647
4.50296,208770.7,106160.3,469918.2,468.5424,345.1913,285.2927
4.520869,345792.3,161502.9,263193.4,255.3434,583.5914,553.1407
4.533188,373330.3,171420.5,443242.9,562.6962,611.5942,479.1301
4.536434,509588,212763,495103.3,550.1178,870.3292,782.6637
4.543063,409485.5,212261.3,510262.9,557.0485,663.8986,465.8291
4.608229,286708.7,152951.7,283356.8,282.019,265.8721,310.3758
4.623486,412470,186858.6,390128.9,485.1317,784.3595,411.1801
4.625291,459982.4,211426.9,603722.3,627.1219,480.7079,669.8561
4.639417,224862.7,161784,345537.2,386.9228,371.6458,383.8113
4.648571,222510.2,130842.9,517367,369.3454,463.8826,410.9294
4.653337,247459.8,142094.4,239519.9,194.3388,347.241,460.9187
4.73656,250166,133528.6,510909.5,529.2668,541.9042,491.5021
4.75048,180317.1,84629.44,413686,404.7508,294.2878,352.7561
4.818137,477567.6,262341,542034.9,608.4681,592.8224,380.5525
4.825303,566225.1,277394.9,434077.1,385.2417,187.9832,160.6292
4.833554,379784.4,201874.4,502102.6,396.3013,1291.92,577.1326
4.836686,282043.1,129438.4,438971.8,521.0975,596.0076,465.6227
4.855017,201656.1,100951.2,372358.2,425.3511,268.3789,374.9784
4.885806,438314.8,253069.6,595550.1,521.3776,656.6288,519.962
4.927029,409395.8,193071.2,487509.6,381.3045,429.4948,434.125
4.952263,328118.1,138098.2,499258.2,573.9033,404.1462,443.5183
4.959063,318773.3,161305.8,537077.3,615.5905,476.6675,507.2509
4.995143,283701.8,139297.8,363004.8,479.8821,676.5656,581.7039
5.0004,275310,137592,305976.7,463.4108,385.2859,440.7755
5.001017,380034.1,166271.8,422862.4,473.7183,395.3428,247.4984
5.06008,274108.6,143089,216371.2,303.3567,282.4467,274.7345
5.076709,267946.3,166778.1,442938,283.877,814.8839,752.1098
5.077303,177139.2,86335.2,429914.5,455.1382,350.6179,342.1094
5.077669,447913.4,236689.6,568987,443.9312,866.9229,803.0428
5.108206,504795.1,266434.6,459727.7,528.3378,422.682,300.5401
5.108652,290450.3,133336,358758.3,588.8558,894.041,633.7724
5.114411,316826.3,198739.5,382563.2,275.3833,333.6009,429.7749
5.125371,439205.5,226324,490142.6,438.3571,564.3478,596.8334
5.127223,236678.5,114374.4,462243.8,599.4287,663.8544,536.6989
5.132731,278280.5,122456.3,404183.8,418.7301,469.2502,492.8292
5.156217,392761.4,200673.8,420129.4,256.6263,279.1878,259.4723
5.179383,458181.2,219284.8,446543.6,703.4182,441.2769,317.6014
5.180068,337801.2,145959.5,412242.5,653.2077,725.0507,541.3291
5.184492,282496.1,157451.8,432323,355.956,616.8734,443.4888
5.196423,254868.9,129827,312297.7,322.2611,559.0981,568.8011
5.200149,530476.3,228179.8,397676.6,346.9608,473.5266,458.633
5.2352,399808.3,181538.6,355321.9,223.1674,359.5835,498.477
5.241611,263692.3,148506.4,312028.3,265.5919,573.3281,551.6367
5.247989,368826.3,129569.4,696059.3,523.4126,837.3422,761.8717
5.270274,403720.2,224106.4,424221.4,390.4323,319.3562,416.9606
5.27976,522160.6,214624.5,778292.8,749.485,880.6515,658.5016
5.290846,361568,137122.7,723403.6,496.501,844.2286,928.8564
5.3888,605604.9,233915.4,477319.3,308.0312,366.1898,120.4756
5.432114,364805.4,179250.4,641419.6,264.6187,657.9707,576.2036
5.432126,402561.9,189810.9,558817.2,174.0039,1157.141,777.5173
5.454674,363508.5,149172.8,584239.9,617.2568,475.8417,633.1383
5.467817,317764.3,168082.9,418283.1,460.609,670.0625,506.9707
5.4928,497930.1,229953.9,473708.3,429.2293,1117.459,1105.19
5.496926,381209,130037.6,718812.9,492.3426,865.5367,816.1816
5.539966,353900.9,191129.1,385055.4,486.5474,429.2736,282.314
5.566377,421412.1,233879.5,427311.6,369.0505,579.6984,521.127
5.578537,209015.6,87711.68,499728.3,381.2013,436.7056,459.9749
5.614983,356206.9,210581.3,381739.6,486.2967,488.081,466.8318
5.660708,417895.1,228308.6,326026.1,479.9264,490.4256,419.143
5.676126,549286.5,219326.2,566206.8,621.769,645.0679,496.1766
5.733669,435717.4,186800.3,351343.4,450.0508,811.0204,857.043
5.75496,256358.5,111809.6,342431.2,402.0375,429.0524,314.2982
